Name,Position,Image URL,Profile URL,Nationality,Age,Height,Weight
Dave Kilcoyne,Prop,https://eu-cdn.rugbypass.com/webp-images/images/players/head/192.png.webp?maxw=240,https://www.rugbypass.com/players/dave-kilcoyne/,Ireland,36,183cm,112kg
Jeremy Loughman,Prop,https://eu-cdn.rugbypass.com/webp-images/images/players/head/3581.png.webp?maxw=240,https://www.rugbypass.com/players/jeremy-loughman/,Ireland,29,185cm,118kg
Josh Wycherley,Prop,https://eu-cdn.rugbypass.com/webp-images/images/players/head/5461.png.webp?maxw=240,https://www.rugbypass.com/players/josh-wycherley/,Ireland,25,183cm,109kg
Kieran Ryan,Prop,https://eu-cdn.rugbypass.com/webp-images/images/players/head/14885.png.webp?maxw=240,https://www.rugbypass.com/players/kieran-ryan/,Ireland,Unknown,183cm,110kg
George Hadden,Prop,https://eu-cdn.rugbypass.com/webp-images/images/players/head/12942.png.webp?maxw=240,https://www.rugbypass.com/players/george-hadden/,Ireland,22,185cm,113kg
Niall Scannell,Hooker,https://eu-cdn.rugbypass.com/webp-images/images/players/head/1809.png.webp?maxw=240,https://www.rugbypass.com/players/niall-scannell/,Ireland,32,185cm,111kg
Diarmuid Barron,Hooker,https://eu-cdn.rugbypass.com/webp-images/images/players/head/3401.png.webp?maxw=240,https://www.rugbypass.com/players/diarmuid-barron/,Ireland,26,185cm,103kg
Eoghan Clarke,Hooker,https://eu-cdn.rugbypass.com/webp-images/images/team-images/logos/png/310.png.webp?maxw=160&v=1725488461,https://www.rugbypass.com/players/eoghan-clarke/,Unknown,26,Unknown,Unknown
Scott Buckley,Hooker,https://eu-cdn.rugbypass.com/webp-images/images/players/head/6368.png.webp?maxw=240,https://www.rugbypass.com/players/scott-buckley/,Ireland,24,180cm,104kg
Danny Sheahan,Hooker,https://eu-cdn.rugbypass.com/webp-images/images/players/head/12945.png.webp?maxw=240,https://www.rugbypass.com/players/danny-sheahan/,Ireland,20,183cm,105kg
Max Clein,Hooker,https://eu-cdn.rugbypass.com/webp-images/images/players/head/14102.png.webp?maxw=240,https://www.rugbypass.com/players/max-clein/,Ireland,Unknown,183cm,108kg
Stephen Archer,Prop,https://eu-cdn.rugbypass.com/webp-images/images/players/head/1752.png.webp?maxw=240,https://www.rugbypass.com/players/stephen-archer/,Ireland,37,188cm,118kg
John Ryan,Prop,https://eu-cdn.rugbypass.com/webp-images/images/players/head/204.png.webp?maxw=240,https://www.rugbypass.com/players/john-ryan/,Ireland,36,183cm,120kg
Roman Salanoa,Prop,https://eu-cdn.rugbypass.com/webp-images/images/players/head/4803.png.webp?maxw=240,https://www.rugbypass.com/players/roman-salanoa/,United States,27,183cm,123kg
Mark Donnelly,Prop,https://eu-cdn.rugbypass.com/webp-images/images/players/head/6373.png.webp?maxw=240,https://www.rugbypass.com/players/mark-donnelly/,Ireland,23,180cm,110kg
Darragh McSweeney,Prop,https://eu-cdn.rugbypass.com/webp-images/images/players/head/16941.png.webp?maxw=240,https://www.rugbypass.com/players/darragh-mcsweeney/,Ireland,22,191cm,130kg
